,Date,Tempreal,Tempmean,Location
3770,2011-01-01,36.7,27.0,BadgerysCreek
3771,2011-01-02,29.6,26.7,BadgerysCreek
3772,2011-01-03,17.6,26.5,BadgerysCreek
3773,2011-01-04,21.3,25.9,BadgerysCreek
3774,2011-01-05,26.5,25.7,BadgerysCreek
3775,2011-01-06,25.8,25.8,BadgerysCreek
3776,2011-01-07,23.2,26.1,BadgerysCreek
3777,2011-01-08,26.8,26.3,BadgerysCreek
3778,2011-01-09,28.4,26.6,BadgerysCreek
3779,2011-01-10,25.6,26.5,BadgerysCreek
3780,2011-01-11,23.7,26.1,BadgerysCreek
3781,2011-01-12,27.8,26.0,BadgerysCreek
3782,2011-01-13,27.6,26.2,BadgerysCreek
3783,2011-01-14,29.2,26.1,BadgerysCreek
3784,2011-01-15,27.8,25.9,BadgerysCreek
3785,2011-01-16,30.1,25.6,BadgerysCreek
3786,2011-01-17,28.2,25.8,BadgerysCreek
3787,2011-01-18,25.7,26.3,BadgerysCreek
3788,2011-01-19,27.3,26.4,BadgerysCreek
3789,2011-01-20,27.8,26.4,BadgerysCreek
3790,2011-01-21,30.5,26.4,BadgerysCreek
3791,2011-01-22,,26.8,BadgerysCreek
3792,2011-01-23,,27.2,BadgerysCreek
3793,2011-01-24,29.2,27.5,BadgerysCreek
3794,2011-01-25,33.1,27.3,BadgerysCreek
3795,2011-01-26,35.4,27.2,BadgerysCreek
3796,2011-01-27,35.5,27.9,BadgerysCreek
3797,2011-01-28,26.4,28.7,BadgerysCreek
3798,2011-01-29,26.5,29.3,BadgerysCreek
3799,2011-01-30,34.6,29.7,BadgerysCreek
3800,2011-01-31,39.2,30.0,BadgerysCreek
3801,2011-02-01,40.9,30.3,BadgerysCreek
3802,2011-02-02,37.2,30.3,BadgerysCreek
3803,2011-02-03,37.9,28.8,BadgerysCreek
3804,2011-02-04,37.6,27.7,BadgerysCreek
3805,2011-02-05,40.2,26.6,BadgerysCreek
3806,2011-02-06,23.2,25.9,BadgerysCreek
3807,2011-02-07,23.2,25.5,BadgerysCreek
3808,2011-02-08,25.2,25.2,BadgerysCreek
3809,2011-02-09,24.3,24.5,BadgerysCreek
3810,2011-02-10,30.2,24.8,BadgerysCreek
3811,2011-02-11,35.4,25.0,BadgerysCreek
3812,2011-02-12,21.5,25.4,BadgerysCreek
3813,2011-02-13,21.8,25.7,BadgerysCreek
3814,2011-02-14,19.9,25.4,BadgerysCreek
3815,2011-02-15,23.6,25.4,BadgerysCreek
3816,2011-02-16,26.3,26.0,BadgerysCreek
3817,2011-02-17,29.8,26.2,BadgerysCreek
3818,2011-02-18,26.9,26.1,BadgerysCreek
3819,2011-02-19,36.8,25.6,BadgerysCreek
3820,2011-02-20,35.5,25.3,BadgerysCreek
3821,2011-02-21,26.0,25.4,BadgerysCreek
3822,2011-02-22,22.4,25.7,BadgerysCreek
3823,2011-02-23,25.5,26.0,BadgerysCreek
3824,2011-02-24,29.7,26.1,BadgerysCreek
3825,2011-02-25,31.4,26.4,BadgerysCreek
3826,2011-02-26,33.1,26.7,BadgerysCreek
3827,2011-02-27,27.8,26.2,BadgerysCreek
3828,2011-02-28,28.1,25.8,BadgerysCreek
3829,2011-03-01,33.7,25.3,BadgerysCreek
3830,2011-03-02,20.6,24.2,BadgerysCreek
3831,2011-03-03,31.5,24.0,BadgerysCreek
3832,2011-03-04,31.1,24.1,BadgerysCreek
3833,2011-03-05,20.4,24.1,BadgerysCreek
3834,2011-03-06,22.4,24.5,BadgerysCreek
3835,2011-03-07,25.6,24.3,BadgerysCreek
3836,2011-03-08,31.0,24.4,BadgerysCreek
3837,2011-03-09,29.1,25.1,BadgerysCreek
3838,2011-03-10,24.7,25.5,BadgerysCreek
3839,2011-03-11,27.1,25.2,BadgerysCreek
3840,2011-03-12,29.8,25.2,BadgerysCreek
3841,2011-03-13,33.8,25.1,BadgerysCreek
3842,2011-03-14,23.4,25.1,BadgerysCreek
3843,2011-03-15,25.7,24.8,BadgerysCreek
3844,2011-03-16,26.0,24.2,BadgerysCreek
3845,2011-03-17,23.8,23.7,BadgerysCreek
3846,2011-03-18,23.0,23.6,BadgerysCreek
3847,2011-03-19,20.5,23.4,BadgerysCreek
3848,2011-03-20,21.0,23.4,BadgerysCreek
3849,2011-03-21,25.6,23.4,BadgerysCreek
3850,2011-03-22,30.0,23.4,BadgerysCreek
3851,2011-03-23,29.5,23.4,BadgerysCreek
3852,2011-03-24,26.0,23.1,BadgerysCreek
3853,2011-03-25,25.9,23.1,BadgerysCreek
3854,2011-03-26,21.0,23.2,BadgerysCreek
3855,2011-03-27,20.5,23.1,BadgerysCreek
3856,2011-03-28,21.4,22.9,BadgerysCreek
3857,2011-03-29,25.7,22.8,BadgerysCreek
3858,2011-03-30,21.9,23.1,BadgerysCreek
50027,2011-11-01,13.0,16.5,Canberra
50028,2011-11-02,14.5,16.8,Canberra
50029,2011-11-03,13.6,17.5,Canberra
50030,2011-11-04,13.9,18.2,Canberra
50031,2011-11-05,14.8,18.7,Canberra
50032,2011-11-06,22.1,19.1,Canberra
50033,2011-11-07,19.6,19.5,Canberra
50034,2011-11-08,21.5,19.7,Canberra
50035,2011-11-09,18.3,19.6,Canberra
50036,2011-11-10,16.1,19.5,Canberra
50037,2011-11-11,15.0,19.5,Canberra
50038,2011-11-12,15.0,19.4,Canberra
50039,2011-11-13,16.1,19.1,Canberra
50040,2011-11-14,19.8,19.1,Canberra
50041,2011-11-15,19.4,19.5,Canberra
50042,2011-11-16,20.2,19.6,Canberra
50043,2011-11-17,17.2,19.4,Canberra
50044,2011-11-18,19.8,19.1,Canberra
50045,2011-11-19,22.8,18.9,Canberra
50046,2011-11-20,19.3,18.7,Canberra
50047,2011-11-21,13.3,18.8,Canberra
50048,2011-11-22,15.5,18.3,Canberra
50049,2011-11-23,14.3,18.1,Canberra
50050,2011-11-24,13.5,18.1,Canberra
50051,2011-11-25,12.8,18.4,Canberra
50052,2011-11-26,16.1,18.9,Canberra
50053,2011-11-27,16.9,19.1,Canberra
50054,2011-11-28,19.6,18.8,Canberra
50055,2011-11-29,22.0,18.7,Canberra
50056,2011-11-30,19.6,18.7,Canberra
50057,2011-12-01,,18.6,Canberra
50058,2011-12-02,,18.3,Canberra
50059,2011-12-03,13.5,17.7,Canberra
50060,2011-12-04,15.7,17.6,Canberra
50061,2011-12-05,,18.0,Canberra
50062,2011-12-06,,18.4,Canberra
50063,2011-12-07,,18.7,Canberra
50064,2011-12-08,15.2,18.9,Canberra
50065,2011-12-09,15.6,18.8,Canberra
50066,2011-12-10,17.7,18.8,Canberra
50067,2011-12-11,16.9,18.6,Canberra
50068,2011-12-12,15.7,18.5,Canberra
50069,2011-12-13,,18.4,Canberra
50070,2011-12-14,14.9,18.4,Canberra
50071,2011-12-15,14.4,18.5,Canberra
50072,2011-12-16,14.4,18.8,Canberra
50073,2011-12-17,16.9,19.2,Canberra
50074,2011-12-18,14.9,19.5,Canberra
50075,2011-12-19,16.4,19.8,Canberra
50076,2011-12-20,18.8,20.0,Canberra
50077,2011-12-21,16.6,20.3,Canberra
50078,2011-12-22,16.0,20.6,Canberra
50079,2011-12-23,18.9,20.7,Canberra
50080,2011-12-24,19.4,20.7,Canberra
50081,2011-12-25,19.4,20.8,Canberra
50082,2011-12-26,18.5,21.0,Canberra
50083,2011-12-27,18.1,21.0,Canberra
50084,2011-12-28,14.3,21.0,Canberra
50085,2011-12-29,17.0,21.1,Canberra
50086,2011-12-30,18.1,21.7,Canberra
50087,2011-12-31,16.2,22.3,Canberra
50088,2012-01-01,20.9,22.5,Canberra
50089,2012-01-02,21.7,22.2,Canberra
50090,2012-01-03,25.2,22.0,Canberra
50091,2012-01-04,23.3,21.7,Canberra
50092,2012-01-05,15.8,21.4,Canberra
50093,2012-01-06,16.9,20.8,Canberra
50094,2012-01-07,16.0,20.1,Canberra
50095,2012-01-08,21.6,19.8,Canberra
50096,2012-01-09,18.4,19.5,Canberra
50097,2012-01-10,15.3,19.5,Canberra
50098,2012-01-11,15.4,19.4,Canberra
50099,2012-01-12,12.2,19.4,Canberra
50100,2012-01-13,14.5,19.6,Canberra
50101,2012-01-14,15.6,20.2,Canberra
50102,2012-01-15,16.3,20.6,Canberra
50103,2012-01-16,19.1,21.2,Canberra
50104,2012-01-17,17.8,21.5,Canberra
50105,2012-01-18,19.3,21.9,Canberra
50106,2012-01-19,23.0,22.2,Canberra
50107,2012-01-20,19.6,22.4,Canberra
50108,2012-01-21,18.8,22.3,Canberra
50109,2012-01-22,17.2,22.4,Canberra
50110,2012-01-23,17.4,22.5,Canberra
50111,2012-01-24,17.2,22.8,Canberra
50112,2012-01-25,19.3,23.0,Canberra
50113,2012-01-26,22.4,23.1,Canberra
50114,2012-01-27,21.0,23.0,Canberra
50115,2012-01-28,18.0,22.7,Canberra
50116,2012-01-29,20.5,22.1,Canberra
50117,2012-01-30,20.7,21.5,Canberra
50118,2012-01-31,18.8,20.8,Canberra
55102,2009-01-01,15.3,26.0,MountGinini
55103,2009-01-02,15.2,25.8,MountGinini
55104,2009-01-03,15.8,26.4,MountGinini
55105,2009-01-04,19.7,26.7,MountGinini
55106,2009-01-05,21.2,26.8,MountGinini
55107,2009-01-06,24.1,26.8,MountGinini
55108,2009-01-07,26.9,27.2,MountGinini
55109,2009-01-08,,27.1,MountGinini
55110,2009-01-09,12.9,26.9,MountGinini
55111,2009-01-10,,26.6,MountGinini
55112,2009-01-11,18.6,26.5,MountGinini
55113,2009-01-12,18.6,26.5,MountGinini
55114,2009-01-13,22.6,26.8,MountGinini
55115,2009-01-14,,26.8,MountGinini
55116,2009-01-15,26.0,26.9,MountGinini
55117,2009-01-16,17.7,27.2,MountGinini
55118,2009-01-17,,27.3,MountGinini
55119,2009-01-18,,27.3,MountGinini
55120,2009-01-19,,26.8,MountGinini
55121,2009-01-20,19.1,26.6,MountGinini
55122,2009-01-21,23.1,26.7,MountGinini
55123,2009-01-22,13.8,26.7,MountGinini
55124,2009-01-23,17.0,26.7,MountGinini
55125,2009-01-24,17.1,26.7,MountGinini
55126,2009-01-25,20.0,26.5,MountGinini
55127,2009-01-26,23.3,26.8,MountGinini
55128,2009-01-27,23.2,26.9,MountGinini
55129,2009-01-28,24.5,27.0,MountGinini
55130,2009-01-29,26.8,27.2,MountGinini
55131,2009-01-30,,27.2,MountGinini
55132,2009-01-31,,27.2,MountGinini
55133,2009-02-01,24.8,27.3,MountGinini
55134,2009-02-02,,27.5,MountGinini
55135,2009-02-03,21.2,27.7,MountGinini
55136,2009-02-04,22.6,27.8,MountGinini
55137,2009-02-05,,28.0,MountGinini
55138,2009-02-06,,28.2,MountGinini
55139,2009-02-07,,28.4,MountGinini
55140,2009-02-08,,28.6,MountGinini
55141,2009-02-09,20.0,28.5,MountGinini
55142,2009-02-10,14.0,27.4,MountGinini
55143,2009-02-11,,26.3,MountGinini
55144,2009-02-12,,26.1,MountGinini
55145,2009-02-13,5.9,25.8,MountGinini
55146,2009-02-14,10.3,25.3,MountGinini
55147,2009-02-15,,25.1,MountGinini
55148,2009-02-16,,25.2,MountGinini
55149,2009-02-17,11.2,26.2,MountGinini
55150,2009-02-18,,26.9,MountGinini
55151,2009-02-19,19.1,26.7,MountGinini
55152,2009-02-20,19.3,26.4,MountGinini
55153,2009-02-21,17.4,26.9,MountGinini
55154,2009-02-22,16.3,26.7,MountGinini
55155,2009-02-23,17.6,26.5,MountGinini
55156,2009-02-24,20.0,26.3,MountGinini
55157,2009-02-25,21.6,26.6,MountGinini
55158,2009-02-26,17.7,27.0,MountGinini
55159,2009-02-27,20.8,27.1,MountGinini
55160,2009-02-28,23.3,27.1,MountGinini
59634,2013-05-01,8.7,15.1,Ballarat
59635,2013-05-02,6.8,14.6,Ballarat
59636,2013-05-03,10.2,14.2,Ballarat
59637,2013-05-04,8.1,14.1,Ballarat
59638,2013-05-05,8.8,14.2,Ballarat
59639,2013-05-06,8.7,14.4,Ballarat
59640,2013-05-07,11.2,14.5,Ballarat
59641,2013-05-08,14.0,14.6,Ballarat
59642,2013-05-09,15.7,14.7,Ballarat
59643,2013-05-10,14.8,14.8,Ballarat
59644,2013-05-11,14.2,14.4,Ballarat
59645,2013-05-12,12.8,13.9,Ballarat
59646,2013-05-13,9.2,13.7,Ballarat
59647,2013-05-14,5.1,13.4,Ballarat
59648,2013-05-15,7.1,12.8,Ballarat
59649,2013-05-16,8.2,12.2,Ballarat
59650,2013-05-17,8.5,11.9,Ballarat
59651,2013-05-18,6.9,12.0,Ballarat
59652,2013-05-19,5.4,11.7,Ballarat
59653,2013-05-20,9.1,11.4,Ballarat
59654,2013-05-21,3.7,11.2,Ballarat
59655,2013-05-22,7.7,11.3,Ballarat
59656,2013-05-23,9.1,11.4,Ballarat
59657,2013-05-24,5.9,11.5,Ballarat
59658,2013-05-25,9.0,11.5,Ballarat
59659,2013-05-26,9.2,11.7,Ballarat
59660,2013-05-27,8.4,11.8,Ballarat
59661,2013-05-28,8.9,12.0,Ballarat
59662,2013-05-29,7.4,12.3,Ballarat
59663,2013-05-30,11.3,12.3,Ballarat
59664,2013-05-31,,12.3,Ballarat
59665,2013-06-01,,12.3,Ballarat
59666,2013-06-02,8.6,12.1,Ballarat
59667,2013-06-03,8.8,12.1,Ballarat
59668,2013-06-04,8.3,12.2,Ballarat
59669,2013-06-05,8.6,11.8,Ballarat
59670,2013-06-06,9.0,11.6,Ballarat
59671,2013-06-07,8.3,11.5,Ballarat
59672,2013-06-08,4.9,11.4,Ballarat
59673,2013-06-09,5.3,11.5,Ballarat
59674,2013-06-10,5.4,11.3,Ballarat
59675,2013-06-11,8.2,11.1,Ballarat
59676,2013-06-12,9.0,11.1,Ballarat
59677,2013-06-13,9.7,10.9,Ballarat
59678,2013-06-14,8.3,10.6,Ballarat
59679,2013-06-15,4.9,10.3,Ballarat
59680,2013-06-16,5.2,10.1,Ballarat
59681,2013-06-17,5.1,9.6,Ballarat
59682,2013-06-18,6.6,9.1,Ballarat
59683,2013-06-19,5.1,8.7,Ballarat
59684,2013-06-20,2.6,8.7,Ballarat
59685,2013-06-21,5.7,8.7,Ballarat
59686,2013-06-22,7.2,8.9,Ballarat
59687,2013-06-23,3.8,9.0,Ballarat
59688,2013-06-24,2.4,9.4,Ballarat
59689,2013-06-25,8.2,9.8,Ballarat
59690,2013-06-26,4.2,10.1,Ballarat
59691,2013-06-27,6.0,10.4,Ballarat
59692,2013-06-28,6.2,10.7,Ballarat
59693,2013-06-29,6.0,10.8,Ballarat
59694,2013-06-30,8.7,10.7,Ballarat
59695,2013-07-01,9.1,10.6,Ballarat
59696,2013-07-02,9.0,10.6,Ballarat
59697,2013-07-03,6.7,10.4,Ballarat
59698,2013-07-04,5.7,10.0,Ballarat
59699,2013-07-05,5.0,9.4,Ballarat
59700,2013-07-06,6.2,8.9,Ballarat
59701,2013-07-07,4.3,8.7,Ballarat
59702,2013-07-08,2.5,8.4,Ballarat
59703,2013-07-09,1.2,8.2,Ballarat
59704,2013-07-10,4.5,8.3,Ballarat
59705,2013-07-11,2.0,9.0,Ballarat
59706,2013-07-12,5.9,9.8,Ballarat
59707,2013-07-13,10.4,10.5,Ballarat
59708,2013-07-14,10.9,11.1,Ballarat
59709,2013-07-15,,11.8,Ballarat
59710,2013-07-16,,12.4,Ballarat
59711,2013-07-17,8.9,12.4,Ballarat
59712,2013-07-18,14.0,11.7,Ballarat
59713,2013-07-19,9.4,11.0,Ballarat
59714,2013-07-20,4.2,10.6,Ballarat
59715,2013-07-21,2.8,10.5,Ballarat
59716,2013-07-22,3.2,9.9,Ballarat
59717,2013-07-23,6.9,9.3,Ballarat
59718,2013-07-24,7.3,9.2,Ballarat
59719,2013-07-25,4.3,9.6,Ballarat
59720,2013-07-26,6.1,10.2,Ballarat
59721,2013-07-27,5.7,10.4,Ballarat
59722,2013-07-28,9.1,10.4,Ballarat
59723,2013-07-29,7.6,10.7,Ballarat
59724,2013-07-30,4.9,10.8,Ballarat
59725,2013-07-31,7.3,11.0,Ballarat
119609,2014-09-01,17.7,16.7,PearceRAAF
119610,2014-09-02,19.5,16.7,PearceRAAF
119611,2014-09-03,19.0,16.6,PearceRAAF
119612,2014-09-04,19.1,16.5,PearceRAAF
119613,2014-09-05,25.1,16.8,PearceRAAF
119614,2014-09-06,20.5,17.5,PearceRAAF
119615,2014-09-07,17.2,18.1,PearceRAAF
119616,2014-09-08,16.6,18.4,PearceRAAF
119617,2014-09-09,,18.3,PearceRAAF
119618,2014-09-10,19.1,18.4,PearceRAAF
119619,2014-09-11,19.7,18.7,PearceRAAF
119620,2014-09-12,22.4,18.7,PearceRAAF
119621,2014-09-13,21.0,18.5,PearceRAAF
119622,2014-09-14,21.6,18.3,PearceRAAF
119623,2014-09-15,22.7,18.1,PearceRAAF
119624,2014-09-16,23.6,18.2,PearceRAAF
119625,2014-09-17,25.9,18.5,PearceRAAF
119626,2014-09-18,23.4,18.2,PearceRAAF
119627,2014-09-19,24.2,18.4,PearceRAAF
119628,2014-09-20,32.5,18.8,PearceRAAF
119629,2014-09-21,15.4,19.2,PearceRAAF
119630,2014-09-22,17.3,19.4,PearceRAAF
119631,2014-09-23,16.5,19.6,PearceRAAF
119632,2014-09-24,22.2,19.7,PearceRAAF
119633,2014-09-25,21.5,20.3,PearceRAAF
119634,2014-09-26,22.6,20.8,PearceRAAF
119635,2014-09-27,16.6,21.0,PearceRAAF
119636,2014-09-28,16.3,20.7,PearceRAAF
119637,2014-09-29,19.3,21.0,PearceRAAF
119638,2014-09-30,23.1,21.2,PearceRAAF
119639,2014-10-01,28.2,21.7,PearceRAAF
119640,2014-10-02,21.5,21.8,PearceRAAF
119641,2014-10-03,20.6,21.7,PearceRAAF
119642,2014-10-04,23.7,21.2,PearceRAAF
119643,2014-10-05,,21.3,PearceRAAF
119644,2014-10-06,17.8,21.5,PearceRAAF
119645,2014-10-07,21.6,21.9,PearceRAAF
119646,2014-10-08,20.5,21.7,PearceRAAF
119647,2014-10-09,20.9,21.7,PearceRAAF
119648,2014-10-10,22.7,21.2,PearceRAAF
119649,2014-10-11,19.8,20.8,PearceRAAF
119650,2014-10-12,20.5,20.7,PearceRAAF
119651,2014-10-13,26.0,20.5,PearceRAAF
119652,2014-10-14,29.3,20.0,PearceRAAF
119653,2014-10-15,34.3,19.9,PearceRAAF
119654,2014-10-16,24.8,19.8,PearceRAAF
119655,2014-10-17,24.3,20.0,PearceRAAF
119656,2014-10-18,20.5,20.8,PearceRAAF
119657,2014-10-19,17.4,21.8,PearceRAAF
119658,2014-10-20,20.6,22.3,PearceRAAF
119659,2014-10-21,25.3,23.2,PearceRAAF
119660,2014-10-22,24.5,23.5,PearceRAAF
119661,2014-10-23,22.5,23.7,PearceRAAF
119662,2014-10-24,26.2,24.0,PearceRAAF
119663,2014-10-25,21.6,23.9,PearceRAAF
119664,2014-10-26,21.9,23.6,PearceRAAF
119665,2014-10-27,26.8,23.6,PearceRAAF
119666,2014-10-28,30.2,23.9,PearceRAAF
119667,2014-10-29,26.8,23.8,PearceRAAF
119668,2014-10-30,20.7,23.0,PearceRAAF
119669,2014-10-31,23.2,22.9,PearceRAAF
119670,2014-11-01,31.0,23.2,PearceRAAF
119671,2014-11-02,22.7,23.0,PearceRAAF
119672,2014-11-03,22.3,22.8,PearceRAAF
119673,2014-11-04,27.2,22.5,PearceRAAF
119674,2014-11-05,29.6,22.8,PearceRAAF
119675,2014-11-06,21.5,23.6,PearceRAAF
119676,2014-11-07,22.0,23.9,PearceRAAF
119677,2014-11-08,25.6,23.6,PearceRAAF
119678,2014-11-09,37.8,23.9,PearceRAAF
119679,2014-11-10,23.9,24.4,PearceRAAF
119680,2014-11-11,24.0,24.4,PearceRAAF
119681,2014-11-12,20.8,23.8,PearceRAAF
119682,2014-11-13,21.6,23.4,PearceRAAF
119683,2014-11-14,23.3,23.3,PearceRAAF
119684,2014-11-15,,23.5,PearceRAAF
119685,2014-11-16,31.6,23.7,PearceRAAF
119686,2014-11-17,27.0,23.6,PearceRAAF
119687,2014-11-18,22.7,23.7,PearceRAAF
119688,2014-11-19,22.8,24.4,PearceRAAF
119689,2014-11-20,19.6,25.2,PearceRAAF
119690,2014-11-21,22.4,25.2,PearceRAAF
119691,2014-11-22,22.4,25.3,PearceRAAF
119692,2014-11-23,22.8,24.9,PearceRAAF
119693,2014-11-24,29.3,24.3,PearceRAAF
119694,2014-11-25,33.8,24.0,PearceRAAF
119695,2014-11-26,22.9,24.0,PearceRAAF
119696,2014-11-27,23.7,23.9,PearceRAAF
119697,2014-11-28,22.5,24.2,PearceRAAF
119698,2014-11-29,26.1,24.7,PearceRAAF
119699,2014-11-30,25.6,25.1,PearceRAAF
