,Direction,WindGustDir,WindDir9am,WindDir3pm
0,N,0.06891677890094276,0.08716473675626789,0.05774895207884899
1,NNE,0.04845560702709903,0.06026213174789093,0.05998640534723009
2,NE,0.052784643391004485,0.05686687324862485,0.05850657074883879
3,ENE,0.05997010374887149,0.05809005589574036,0.05563186813186813
4,E,0.06793997069575385,0.06802378163595119,0.046660813413390734
5,ESE,0.05455325824736928,0.05656293089388705,0.05572391525999774
6,SE,0.0696937854277976,0.06884664996219253,0.06294607454401269
7,SSE,0.06819897287137212,0.06754933503343366,0.06623144896340773
8,S,0.06784376988766706,0.06419114267498925,0.0628327857709301
9,SSW,0.06464694303432149,0.056244162082820584,0.0665500736377025
10,SW,0.06635635739340211,0.06244162082820585,0.06739265888750424
11,WSW,0.06711116373377536,0.05207051462629917,0.07673898266681772
12,W,0.0733716163215771,0.06270849704212196,0.07028152260111023
13,WNW,0.06106531294862877,0.05496167361039038,0.07158434349155998
14,NW,0.06010330486776089,0.06485833320977953,0.060963521015067405
15,NNW,0.04898841150265662,0.059157560751404804,0.06022006344171293